CustomerKey,AvgDeliveryTime,TotalShipments
1,2.0,40
2,2.0,24
5,,3
7,,1
9,,7
11,,5
12,,3
13,,23
17,,1
22,,1
38,,2
42,,1
46,,1
48,,2
57,,1
60,,1
98,,2
99,,1
107,,1
119,,1
120,,1
124,,1
126,,22
142,,611
164,,1
171,,1
174,,59
183,,1
184,,53
186,,1
192,,3
193,,11
195,,18
197,,1
201,,930
203,,7
205,,56
206,2.0,35
214,,2171
215,,2
220,,7
221,,3
222,,4
224,,5
225,,1
228,,1
234,,3
236,,1
238,,31
240,,1
250,,2
259,,8
260,,2
265,,1
270,,1
271,,28
273,,1
274,,1
276,,1
280,,1
284,,2
293,,91
294,,2
299,,24
303,,40
317,,5
322,,1
323,,4
332,,10
337,,1
342,,1
345,,2
349,,11
354,,4
355,,10
360,,1
361,,115
374,,90
386,,1
396,,1
400,,3
402,,1
407,,2
408,,3
411,,14
415,,4
417,,2
420,,1
421,,1
422,,33
426,,5
428,,3
429,,48
432,,3
445,,11
457,,20
459,,5
460,,1
463,,2
465,,16
481,,118
489,,1
495,,1
496,,7
498,,26
499,,19
501,,102
519,,1
522,,1
526,,2
527,,1
543,,1
558,,1
562,,1
567,,1
582,,15
590,,4
604,,1
608,,10
616,,1
624,,3
625,,49
628,,62
636,,22
659,,1
662,,3
663,,6
667,,2
668,,1
698,,1
701,,1
702,2.0,2576
703,15.95,88
708,,10
709,,1
721,,5
722,,53
727,,19
732,,2
733,,2
740,,197
743,,1
744,,4
747,,2
752,,1
753,,2
754,,1
758,,2
760,,1
762,2.0,29
765,,1
766,,2
767,,2
770,,746
776,,48
777,,5
788,,1
790,,1
791,,5
792,,5
812,,26
820,,1
821,,2
823,,1
826,,1
831,,1
845,,2
858,,9
859,,4
862,,8
883,,1
896,,4
897,,1
908,,2
909,,3
913,,1
918,,1
924,,1
930,,1
934,,1
937,,1
938,,1
945,,1
948,,4
954,,1
963,,1
968,,1
975,,1
981,,1
990,,7
994,,1
995,,2
1011,,2
1014,,1
1015,,1
1022,,1
1023,,1
1026,,1
1036,,1
1042,,1
1044,,3
1053,,2
1058,,16
1060,,1
1063,,1
1065,,1
1067,,6
1082,,4
1097,,2
1098,,2
1099,,2
1104,,2
1106,,2
1108,,7
1118,,2
1122,,161
1124,2.0,1
1148,,1
1159,,1
1162,,4
1165,,1
1167,,1
1169,,1
1177,,1
1188,,17
1198,,2
1202,,3
1216,,7
1230,,1
1235,,7
1253,,1
1254,,1
1256,,1
1264,,1
1289,,3
1290,,4
1291,,6
1298,,3
1303,,1
1304,,2
1305,,1
1306,,57
1307,,2
1315,,64
1316,,1
1317,,46
1338,,1
1343,,5
1356,,3
1357,,10
1369,2.0,5
1391,,2
1392,,33
1401,,1
1410,,2
1411,,35
1422,,1
1423,,2
1425,,43
1426,,2
1428,,2
1433,,2
1437,,3
1441,,1
1447,,6
1448,,4
1457,,1
1459,,1
1469,,1
1477,,1
1483,,2
1494,,2
1500,,5
1504,,7
1506,,16
1510,,2
1529,,1
1541,,1
1554,,2
1562,,29
1563,,1
1565,,1
1567,,2
1580,,3
1591,,2
1600,,126
1628,,1
1630,,66
1643,,2
1646,,15
1658,,16
1666,,1
1674,,1
1675,,26
1676,,3
1678,,2
1679,,1
1680,,1
1682,,28
1683,,12
1685,,14
1690,,10
1693,,1481
1698,,2
1699,,16
1700,,7
1702,,2
1705,,1
1706,,119
1708,,27
1711,,1
1713,,1
1714,,84
1715,,2
1719,,1
1720,,2
1722,,68
1724,,2
1725,,76
1727,,14
1728,,6
1730,,5
1733,,4
1735,,22
1736,,9
1737,,2
1738,,4
1739,,47
1741,,6
1742,,2
1743,,1
1744,,1
1745,,3
1748,,11
1750,,1
1754,,1
1756,2.0,185
1757,,88
1758,,219
1759,,165
1764,,28
1766,,1
1767,,4
1769,,1
1774,,26
1775,,27
1777,,216
1779,,8
1780,,131
1781,,44
1783,,1
1786,,1
1787,,1
1788,,16
1789,,1
1790,,116
1793,,2
1794,,35
1796,,3
1797,,9
1798,,4
1799,,5
1801,,712
1802,,6
1804,,4
1805,,4
1810,,9
1811,,6
1816,,1
1819,,1
1822,,111
1825,,1
1826,,4
1829,,1
1830,,1
1831,,1
1832,,1
1833,,2
1836,,1
1837,,83
1839,,12
1840,,9
1841,,31
1843,,15
1844,,30
1846,,17
1849,,2
1850,1.6901172529313233,2861
1851,,1
1852,,1
1854,,4
1855,,2
1856,-2.7928571428571427,349
1864,2.0,394
1868,,17
1871,,2
1872,,4
1873,,1
1874,,205
1875,,1
1876,,4
1878,,1
1879,,3
1881,,3
1882,,77
1893,,3
1895,,5
1897,,2
1898,,30
1902,,15
1905,,1
1906,,55
1907,,38
1908,,5
1909,,17
1911,,30
1912,,3
1914,,12
1915,,5
1919,,2
1923,,5
1924,,1
1925,,2
1926,,1
1933,,2
1936,,1
1939,,2
1947,,2
1948,,3
1954,,1
1955,,2
1956,,1
1957,,1
1969,,2
1970,,29
1971,,3
1974,,3
1983,,6
1997,,66
2012,,1
2014,,3
2016,,1
2018,,1
2025,,4
2030,,3
2039,,453
2040,,836
2053,,2
2058,,4
2093,,2
2096,,1
2103,,3
2108,,1
2114,,1
2119,,1
2138,,1
2139,,1
2146,,1
2156,,7
2168,,5
2201,,1
2209,,1
2210,,9
2216,,281
2221,,1
2223,,1
2226,,5
2233,,11
2234,,1
2244,,3
2271,,2
2273,,17
2296,,1
2307,,1
2308,,7
2330,,3
2332,,5
2340,,12
2367,,1
2369,,2
2379,,1
2386,,1
2401,,1
2418,,1
2421,,1
2423,,1
2428,,1
2430,,8
2440,,2
2441,,3
2446,,2
2456,,1
2466,,7
2469,,1
2476,,2
2486,,1
2492,,1
2503,,8
2510,,23
2523,,1
2541,,3
2550,,4
2553,,2
2564,,10
2575,,1
2597,,122
2608,,1
2622,,1
2643,,1
2646,,1
2650,,2
2655,,1
2664,,1
2666,,3
2667,,252
2668,,3
2672,,3
2680,,25
2690,,1
2717,,4
2720,,6
2731,,2
2747,,3
2750,,677
2751,,2
2752,,1
2756,,1
2760,,8
2773,,45
2787,,10
2791,,1
2792,,91
2793,,1
2802,,1
2805,,1
2806,,1
2813,,43
2819,,1
2820,,1
2832,,2
2835,,1
2836,,1
2842,,41
2847,,1
2853,,27
2854,,1
2864,,2
2874,,4
2876,,1
2879,,17
2880,,1
2885,,1
2886,,1
2898,,3
2902,,1
2906,,9
2908,,6
2909,,4
2910,,2
2912,,1
2921,,25
2923,,1
2935,,156
2938,,1
2946,,2556
2955,,1
2963,,2
2976,,1
2978,,1
2980,,1
2990,,27
2994,,1
3002,,19
3006,,2
3008,,4
3011,,6
3019,,1
3021,,42
3022,,1
3023,,58
3025,,1
3026,,1
3034,,1
3037,,26
3038,1.9692307692307693,137
3039,,1
3050,,3
3053,,7
3056,,4
3057,,1
3059,,33
3063,,1
3067,,4
3070,,1
3073,,1
3080,,1
3081,2.0,5
3085,,1
3086,,1
3087,,21
3088,,16
3092,,1
3096,,9
3099,,43
3107,,1
3112,,4
3115,,1
3130,,1
3151,,1
3152,,1
3159,,16
3166,,1
3179,,1
3184,,1
3186,,1
3189,,3
3192,,1
3218,,1
3224,,4
3232,,1
3238,,2
3251,,1
3259,,1
3261,,1
3265,2.0,236
3266,,1
3275,,1
3285,,8
3312,,2
3315,,1
3320,,3
3324,,2
3332,,2
3337,,1
3338,,39
3341,,1
3345,,20
3358,,1
3369,,1
3371,,3
3390,,1
3398,,1
3399,,1
3402,,6
3438,,1
3445,,6
3497,,1
3509,,9
3524,,1
3527,,49
3532,,17
3537,,1
3552,,3
3554,,1
3558,,1
3566,,3
3580,,2
3612,,1
3632,,1
3633,,27
3650,,1
3654,,4
3664,,1
3735,,1
3744,,1
3747,,3
3757,,2
3783,,4
3799,,1
3804,,1
3820,,1
3826,,1
3893,,1
3945,,7
